female,Gender,age,party_id_leaners,Republican,race,traditional_gender,vote_trump
0,Male,43,Democrat,0,white,7,0
1,Female,38,Democrat,0,other,7,0
1,Female,44,Republican,1,white,7,0
1,Female,34,Democrat,0,black,7,0
1,Female,51,Democrat,0,black,7,0
1,Female,41,Democrat,0,white,7,1
0,Male,60,Republican,1,hispanic,7,0
1,Female,74,Republican,1,white,7,0
0,Male,37,Democrat,0,black,7,0
0,Male,77,Democrat,0,white,7,0
1,Female,67,Democrat,0,white,7,0
1,Female,45,Democrat,0,white,7,0
1,Female,46,Republican,1,white,7,1
0,Male,67,Democrat,0,white,7,0
0,Male,64,Democrat,0,white,7,0
1,Female,59,Democrat,0,white,7,0
0,Male,37,Democrat,0,white,7,0
0,Male,73,Republican,1,white,7,1
1,Female,41,Democrat,0,other,7,0
0,Male,34,Republican,1,white,7,0
0,Male,45,Democrat,0,black,7,0
1,Female,18,Democrat,0,white,7,0
0,Male,28,Democrat,0,white,7,0
1,Female,54,Republican,1,white,7,1
1,Female,90,Republican,1,white,7,0
0,Male,75,Republican,1,white,7,1
1,Female,56,Democrat,0,black,7,0
1,Female,41,Democrat,0,white,7,0
1,Female,50,Democrat,0,black,7,0
1,Female,26,Democrat,0,black,8,0
1,Female,61,Democrat,0,white,8,0
1,Female,82,Republican,1,white,8,1
0,Male,36,Republican,1,white,8,0
0,Male,55,Republican,1,hispanic,8,1
0,Male,35,Democrat,0,hispanic,8,0
1,Female,58,Republican,1,white,8,0
1,Female,30,Democrat,0,other,8,0
0,Male,68,Republican,1,white,8,0
1,Female,60,Republican,1,white,8,0
0,Male,62,Republican,1,white,8,1
1,Female,20,Republican,1,hispanic,8,1
0,Male,30,Democrat,0,asian,8,0
1,Female,57,Republican,1,white,8,1
0,Male,87,Republican,1,white,8,1
0,Male,21,Republican,1,white,8,1
1,Female,38,Democrat,0,white,8,0
1,Female,66,Republican,1,white,8,1
1,Female,56,Democrat,0,hispanic,8,0
0,Male,39,Republican,1,white,8,0
0,Male,27,Republican,1,white,8,1
1,Female,69,Republican,1,other,8,1
1,Female,49,Republican,1,white,8,1
1,Female,71,Republican,1,white,8,1
1,Female,69,Democrat,0,white,8,0
1,Female,78,Republican,1,white,8,1
1,Female,60,Democrat,0,black,8,0
0,Male,36,Democrat,0,other,8,0
0,Male,24,Republican,1,other,8,1
1,Female,43,Democrat,0,white,8,0
1,Female,58,Democrat,0,white,8,0
0,Male,51,Democrat,0,white,8,0
1,Female,51,Democrat,0,asian,8,0
1,Female,38,Democrat,0,other,8,0
1,Female,52,Democrat,0,white,8,0
1,Female,34,Republican,1,white,8,0
0,Male,54,Democrat,0,white,8,1
1,Female,46,Republican,1,white,8,1
0,Male,56,Democrat,0,other,8,0
0,Male,53,Democrat,0,black,8,0
1,Female,36,Democrat,0,white,8,0
1,Female,76,Democrat,0,white,8,0
0,Male,44,Democrat,0,hispanic,8,0
1,Female,50,Democrat,0,white,8,0
1,Female,37,Democrat,0,white,8,0
1,Female,80,Democrat,0,white,8,0
1,Female,37,Democrat,0,white,8,0
1,Female,59,Republican,1,white,8,1
0,Male,45,Republican,1,white,8,1
1,Female,26,Democrat,0,white,8,0
0,Male,49,Democrat,0,white,8,0
0,Male,24,Democrat,0,white,8,0
1,Female,52,Democrat,0,white,8,0
0,Male,28,Republican,1,white,8,0
1,Female,66,Democrat,0,white,8,0
1,Female,66,Republican,1,white,9,1
1,Female,32,Republican,1,white,9,1
0,Male,45,Democrat,0,white,9,0
0,Male,60,Democrat,0,other,9,0
0,Male,55,Democrat,0,black,9,0
0,Male,68,Democrat,0,white,9,0
1,Female,33,Republican,1,asian,9,0
0,Male,81,Democrat,0,white,9,0
0,Male,55,Democrat,0,white,9,0
1,Female,42,Democrat,0,other,9,0
1,Female,76,Democrat,0,white,9,0
1,Female,45,Republican,1,white,9,1
0,Male,67,Democrat,0,white,9,0
0,Male,25,Democrat,0,white,9,0
1,Female,68,Republican,1,white,9,1
0,Male,61,Republican,1,white,9,1
1,Female,60,Democrat,0,white,9,0
1,Female,63,Democrat,0,white,9,0
1,Female,30,Republican,1,white,9,1
1,Female,40,Democrat,0,white,9,0
1,Female,58,Democrat,0,white,9,0
0,Male,84,Democrat,0,white,9,0
1,Female,33,Democrat,0,hispanic,9,0
0,Male,35,Democrat,0,hispanic,9,0
1,Female,73,Democrat,0,white,9,0
0,Male,45,Democrat,0,white,9,0
0,Male,66,Republican,1,white,9,1
1,Female,49,Republican,1,white,9,1
1,Female,88,Republican,1,white,9,1
1,Female,81,Republican,1,white,9,1
1,Female,43,Democrat,0,black,9,0
0,Male,40,Democrat,0,hispanic,9,0
1,Female,65,Democrat,0,white,9,0
1,Female,71,Republican,1,white,9,1
0,Male,46,Democrat,0,black,9,0
1,Female,47,Democrat,0,white,9,0
0,Male,62,Republican,1,white,9,0
1,Female,57,Democrat,0,black,9,0
0,Male,24,Democrat,0,black,9,0
1,Female,34,Democrat,0,white,9,0
1,Female,53,Republican,1,white,9,1
0,Male,53,Democrat,0,black,9,0
0,Male,28,Democrat,0,hispanic,9,0
0,Male,81,Democrat,0,white,9,0
1,Female,82,Republican,1,white,9,1
1,Female,43,Democrat,0,black,9,0
0,Male,53,Republican,1,white,9,1
0,Male,68,Democrat,0,white,9,0
1,Female,75,Democrat,0,white,9,0
1,Female,67,Democrat,0,hispanic,9,0
0,Male,85,Republican,1,other,9,0
1,Female,55,Republican,1,white,9,1
1,Female,26,Republican,1,white,9,1
1,Female,28,Democrat,0,white,9,1
0,Male,33,Democrat,0,white,9,0
1,Female,50,Democrat,0,black,9,0
0,Male,62,Democrat,0,black,9,0
1,Female,28,Republican,1,white,9,1
1,Female,53,Democrat,0,black,9,0
0,Male,23,Democrat,0,hispanic,9,0
1,Female,71,Democrat,0,white,9,0
1,Female,38,Republican,1,white,9,1
0,Male,20,Democrat,0,white,9,0
1,Female,66,Republican,1,white,9,1
0,Male,68,Republican,1,white,9,1
1,Female,33,Democrat,0,white,9,0
1,Female,53,Democrat,0,white,9,0
1,Female,34,Republican,1,white,9,1
1,Female,53,Republican,1,white,9,0
1,Female,67,Republican,1,white,9,1
0,Male,28,Republican,1,white,9,0
1,Female,86,Democrat,0,white,10,0
0,Male,67,Democrat,0,white,10,0
0,Male,55,Republican,1,white,10,1
0,Male,51,Republican,1,white,10,0
1,Female,27,Republican,1,white,10,1
0,Male,30,Republican,1,white,10,1
0,Male,25,Democrat,0,black,10,0
1,Female,34,Republican,1,other,10,0
0,Male,43,Democrat,0,white,10,1
0,Male,69,Democrat,0,black,10,0
0,Male,63,Republican,1,white,10,1
1,Female,65,Republican,1,white,10,1
0,Male,50,Democrat,0,black,10,0
1,Female,70,Republican,1,white,10,1
1,Female,72,Democrat,0,black,10,1
1,Female,49,Republican,1,white,10,0
1,Female,77,Republican,1,white,10,1
1,Female,59,Republican,1,white,10,1
1,Female,63,Republican,1,hispanic,10,1
0,Male,60,Republican,1,hispanic,10,1
1,Female,30,Republican,1,white,10,0
1,Female,45,Democrat,0,white,10,0
0,Male,50,Republican,1,white,10,0
1,Female,49,Democrat,0,black,10,0
1,Female,31,Democrat,0,asian,10,0
0,Male,32,Republican,1,white,10,0
1,Female,66,Democrat,0,other,10,0
0,Male,47,Republican,1,white,10,1
1,Female,42,Democrat,0,white,10,0
0,Male,23,Republican,1,white,10,0
0,Male,63,Republican,1,white,10,1
0,Male,27,Republican,1,black,10,0
1,Female,77,Republican,1,white,10,1
1,Female,29,Republican,1,white,10,1
0,Male,27,Democrat,0,black,10,0
0,Male,79,Democrat,0,white,10,0
1,Female,80,Republican,1,white,10,1
1,Female,90,Democrat,0,white,10,0
0,Male,36,Democrat,0,hispanic,10,0
0,Male,33,Republican,1,hispanic,10,0
0,Male,53,Democrat,0,white,10,0
0,Male,51,Democrat,0,white,10,0
0,Male,67,Democrat,0,hispanic,10,0
0,Male,50,Republican,1,white,10,1
0,Male,31,Republican,1,white,10,1
1,Female,30,Democrat,0,white,10,1
1,Female,56,Republican,1,white,10,0
1,Female,75,Democrat,0,white,10,0
1,Female,34,Democrat,0,hispanic,10,0
0,Male,63,Democrat,0,white,10,0
1,Female,42,Democrat,0,white,10,0
0,Male,23,Democrat,0,hispanic,10,0
1,Female,68,Democrat,0,white,10,0
0,Male,85,Republican,1,white,10,1
0,Male,45,Democrat,0,black,10,0
0,Male,46,Democrat,0,white,10,0
1,Female,41,Democrat,0,black,10,0
1,Female,78,Democrat,0,white,10,0
0,Male,73,Democrat,0,white,10,0
0,Male,52,Republican,1,white,10,1
0,Male,18,Democrat,0,hispanic,10,0
1,Female,66,Republican,1,white,10,1
1,Female,55,Democrat,0,hispanic,10,0
0,Male,55,Republican,1,other,10,1
1,Female,64,Republican,1,white,10,1
0,Male,85,Democrat,0,white,10,0
0,Male,81,Democrat,0,white,10,0
0,Male,64,Democrat,0,white,10,0
1,Female,38,Democrat,0,white,11,0
0,Male,30,Republican,1,hispanic,11,0
